id,title,release_date,popularity,vote_average,vote_count
549294,Synchronic,23/10/2020,13.086,6.3,474
516632,The Empty Man,22/10/2020,30.421,6.2,430
575446,New Order,22/10/2020,11.85,6.5,224
664031,Out Of My League,22/10/2020,10.573,7,392
651881,Bye Bye Morons,21/10/2020,7.982,7.3,612
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,16/10/2020,802.708,8.4,2454
560050,Over the Moon,16/10/2020,50.321,7.3,1056
590223,Love and Monsters,16/10/2020,34.205,7.4,3090
710356,2 Hearts,16/10/2020,11.392,7.7,351
752505,The Old Ways,16/10/2020,10.008,7.2,251
505379,Rebecca,16/10/2020,8.826,6.3,887
720755,The Kid Detective,16/10/2020,8.487,6.6,232
624963,A Babysitter's Guide to Monster Hunting,14/10/2020,35.199,6.2,237
618353,Batman: Death in the Family,13/10/2020,61.052,7.2,323
630566,Clouds,09/10/2020,41.876,8.3,841
575776,Saint Maud,09/10/2020,12.283,6.7,422
522406,Flashback,08/10/2020,38.226,6.5,201
524216,The Mortuary Collection,08/10/2020,34.253,6.9,294
715123,Books of Blood,07/10/2020,21.767,6.7,253
617505,Hubie Halloween,07/10/2020,12.791,6,1232
660982,American Pie Presents: Girls' Rules,06/10/2020,56.584,6.3,454
716258,Black Box,06/10/2020,24.715,6.5,397
435615,Possessor Uncut,02/10/2020,17.804,6.4,508
604578,Spontaneous,02/10/2020,12.873,7,377
575417,On the Rocks,02/10/2020,9.517,6.2,444
746957,You've Got This,02/10/2020,9.109,7.9,253
655187,Coven,02/10/2020,6.918,6.8,221
606876,Rifkin's Festival,01/10/2020,9.285,6.3,313
604822,Vanguard,30/09/2020,119.503,6.4,409
597156,The Boys in the Band,30/09/2020,13.191,6.9,342
733156,Sightless,29/09/2020,14.459,7,284
578908,Bad Trip,26/09/2020,62.031,6.1,371
621870,Secret Society of Second Born Royals,25/09/2020,55.338,6.8,434
556984,The Trial of the Chicago 7,25/09/2020,11.207,7.8,2368
541305,Kajillionaire,25/09/2020,8.634,6.2,296
580175,Another Round,24/09/2020,16.948,7.7,1996
497582,Enola Holmes,23/09/2020,23.499,7.3,4428
533514,Violet Evergarden: The Movie,18/09/2020,18.99,8.5,233
701175,The Paramedic,16/09/2020,10.642,6.1,516
638965,Mandibles,16/09/2020,8.781,6.2,343
669664,"My Donkey, My Lover & I",16/09/2020,8.187,6.5,234
499932,The Devil All the Time,11/09/2020,20.29,7.3,2575
616251,The Broken Hearts Gallery,11/09/2020,11.478,7.2,200
509635,Alone,10/09/2020,69.742,6.2,433
623491,The Babysitter: Killer Queen,10/09/2020,42.199,6.5,1105
629017,Run Hide Fight,10/09/2020,16.283,6.7,253
632666,Unpregnant,10/09/2020,9.557,7.1,200
741067,Welcome to Sudden Death,09/09/2020,10.308,6.3,233
594718,Sputnik,08/09/2020,33.667,6.5,494
337401,Mulan,04/09/2020,120.068,6.9,5669
553604,Honest Thief,03/09/2020,79.373,6.5,1291
613504,After We Collided,02/09/2020,197.381,7.3,4583
627290,Antebellum,02/09/2020,32.402,6.3,695
644090,"Love, Guaranteed",02/09/2020,9.895,6.5,534
594328,Phineas and Ferb: The Movie: Candace Against the Universe,28/08/2020,62.576,7.4,300
500840,I'm Thinking of Ending Things,28/08/2020,9.606,6.6,1424
438396,Unknown Origins,28/08/2020,9.559,6.2,328
425001,The War with Grandpa,27/08/2020,16.73,6.5,710
501979,Bill & Ted Face the Music,27/08/2020,13.927,6,631
340102,The New Mutants,26/08/2020,83.038,6.2,2691
618354,Superman: Man of Tomorrow,23/08/2020,26.748,7.3,337
632632,Given,22/08/2020,107.39,8.4,319
577922,Tenet,22/08/2020,70.075,7.2,7210
621013,Chemical Hearts,21/08/2020,40.338,7.5,962
508570,The One and Only Ivan,21/08/2020,13.404,7.5,467
523781,Words on Bathroom Walls,21/08/2020,10.919,8,416
626393,The Sleepover,21/08/2020,10.294,6.6,324
718400,The Vanished,21/08/2020,9.843,6,214
400160,The SpongeBob Movie: Sponge on the Run,14/08/2020,166.888,7.6,2471
605116,Project Power,14/08/2020,17.869,6.5,2319
606234,Archive,13/08/2020,11.764,6.3,470
612706,Work It,07/08/2020,12.36,7.7,986
703771,Deathstroke: Knights & Dragons - The Movie,04/08/2020,241.4,6.9,349
724089,Gabriel's Inferno: Part II,31/07/2020,12.111,8.5,1414
524047,Greenland,29/07/2020,47.9,7.2,3413
583083,The Kissing Booth 2,24/07/2020,56.054,7.8,4505
726208,Don't Listen,24/07/2020,40.725,6.5,583
527660,"Yes, God, Yes",24/07/2020,22.824,6.4,374
673174,Offering to the Storm,24/07/2020,20.476,6.5,239
601844,Becky,23/07/2020,12.421,6.4,297
579583,The King of Staten Island,22/07/2020,18.35,7.1,695
603119,The Silencing,18/07/2020,14.418,6.5,383
625568,Unhinged,16/07/2020,21.217,6.4,1577
606625,Follow Me,16/07/2020,12.006,6.5,323
581392,Peninsula,15/07/2020,57.256,6.9,1893
659959,Summer of 85,14/07/2020,18.566,7.4,522
516486,Greyhound,10/07/2020,26.306,7.4,2169
547016,The Old Guard,10/07/2020,22.254,7.2,3345
587792,Palm Springs,10/07/2020,19.027,7.3,2178
385103,Scoob!,09/07/2020,55.457,7.2,1348
521034,The Secret Garden,08/07/2020,12.384,6.4,463
608195,Ghosts of War,03/07/2020,31.409,6,310
539181,Relic,03/07/2020,13.62,6,531
556574,Hamilton,03/07/2020,13.382,8.3,967
614427,Three Perfect Daughters,02/07/2020,4.504,6,224
595148,Irresistible,01/07/2020,12.572,6.1,306
598133,The F**k-It List,01/07/2020,11.005,6.2,392
694234,Under the Riccione Sun,01/07/2020,8.88,6.2,462
706510,Desperados,01/07/2020,7.927,6.1,419
